0	/Vicon/Objects/Descriptors:o
1	/Vicon/Objects/Data:o
#DATA#
0		1	0.057828	"ST<HOUR>" "ST<MIN>" "ST<SEC>" "ST<MSEC>" "Timestamp:<F>" "sweetcorn_can#5001:sweetcorn_can:<t-X>" "sweetcorn_can#5001:sweetcorn_can:<t-Y>" "sweetcorn_can#5001:sweetcorn_can:<t-Z>" "sweetcorn_can#5001:sweetcorn_can:<e-X>" "sweetcorn_can#5001:sweetcorn_can:<e-Y>" "sweetcorn_can#5001:sweetcorn_can:<e-Z>" "coke_can#5002:coke_can:<t-X>" "coke_can#5002:coke_can:<t-Y>" "coke_can#5002:coke_can:<t-Z>" "coke_can#5002:coke_can:<e-X>" "coke_can#5002:coke_can:<e-Y>" "coke_can#5002:coke_can:<e-Z>" "coffee_cup#5003:coffee_cup:<t-X>" "coffee_cup#5003:coffee_cup:<t-Y>" "coffee_cup#5003:coffee_cup:<t-Z>" "coffee_cup#5003:coffee_cup:<e-X>" "coffee_cup#5003:coffee_cup:<e-Y>" "coffee_cup#5003:coffee_cup:<e-Z>" "cover_box#5004:cover_box:<t-X>" "cover_box#5004:cover_box:<t-Y>" "cover_box#5004:cover_box:<t-Z>" "cover_box#5004:cover_box:<e-X>" "cover_box#5004:cover_box:<e-Y>" "cover_box#5004:cover_box:<e-Z>"
1		1	0.046024	14.0 26.0 4.0 904.0 527900.0 594.706 -457.36 41.4436 -0.007974 -0.004105 0.266329 547.883 -149.963 58.6494 0.003117 0.012339 -0.04456 511.398 192.283 57.8591 -0.006719 0.009483 -0.150758 0.0 0.0 0.0 0.0 0.0 0.0
0		2	0.109307	"ST<HOUR>" "ST<MIN>" "ST<SEC>" "ST<MSEC>" "Timestamp:<F>" "sweetcorn_can#5001:sweetcorn_can:<t-X>" "sweetcorn_can#5001:sweetcorn_can:<t-Y>" "sweetcorn_can#5001:sweetcorn_can:<t-Z>" "sweetcorn_can#5001:sweetcorn_can:<e-X>" "sweetcorn_can#5001:sweetcorn_can:<e-Y>" "sweetcorn_can#5001:sweetcorn_can:<e-Z>" "coke_can#5002:coke_can:<t-X>" "coke_can#5002:coke_can:<t-Y>" "coke_can#5002:coke_can:<t-Z>" "coke_can#5002:coke_can:<e-X>" "coke_can#5002:coke_can:<e-Y>" "coke_can#5002:coke_can:<e-Z>" "coffee_cup#5003:coffee_cup:<t-X>" "coffee_cup#5003:coffee_cup:<t-Y>" "coffee_cup#5003:coffee_cup:<t-Z>" "coffee_cup#5003:coffee_cup:<e-X>" "coffee_cup#5003:coffee_cup:<e-Y>" "coffee_cup#5003:coffee_cup:<e-Z>" "cover_box#5004:cover_box:<t-X>" "cover_box#5004:cover_box:<t-Y>" "cover_box#5004:cover_box:<t-Z>" "cover_box#5004:cover_box:<e-X>" "cover_box#5004:cover_box:<e-Y>" "cover_box#5004:cover_box:<e-Z>"
1		2	0.097471	14.0 26.0 4.0 951.0 527905.0 594.637 -457.371 41.4651 -0.006198 -0.0032 0.268553 547.795 -150.04 58.6536 0.003199 0.012019 -0.040636 511.365 192.369 57.8834 -0.005489 0.010335 -0.150268 0.0 0.0 0.0 0.0 0.0 0.0
1		3	0.147678	14.0 26.0 5.0 13.0 527910.0 594.764 -457.201 41.3959 -0.005205 -0.006855 0.26812 547.707 -150.029 58.7294 0.003428 0.014276 -0.041723 511.41 192.557 57.9125 -0.002576 0.00981 -0.149681 0.0 0.0 0.0 0.0 0.0 0.0
1		4	0.199519	14.0 26.0 5.0 60.0 527916.0 594.508 -457.315 41.4318 -0.00479 -0.001228 0.267396 547.695 -150.15 58.6835 0.001622 0.014855 -0.041534 511.43 192.486 57.9257 -0.004139 0.009423 -0.150234 0.0 0.0 0.0 0.0 0.0 0.0
1		5	0.2502	14.0 26.0 5.0 123.0 527921.0 594.671 -457.182 41.4137 -0.001954 -0.003191 0.267247 547.731 -150.145 58.6733 0.00188 0.013616 -0.041326 511.453 192.382 57.9194 -0.005384 0.008946 -0.149893 0.0 0.0 0.0 0.0 0.0 0.0
1		6	0.30099	14.0 26.0 5.0 169.0 527926.0 594.668 -457.422 41.3588 -0.006523 -0.001947 0.268214 547.724 -150.119 58.6659 0.002052 0.014221 -0.041608 511.534 192.57 57.8844 -0.001892 0.008182 -0.149889 0.0 0.0 0.0 0.0 0.0 0.0
1		7	0.351783	14.0 26.0 5.0 216.0 527931.0 594.637 -457.329 41.3815 -0.00509 -0.002399 0.267953 547.761 -150.194 58.6667 0.000645 0.012756 -0.040856 511.483 192.681 57.9477 -0.000839 0.00847 -0.14961 0.0 0.0 0.0 0.0 0.0 0.0
1		8	0.402551	14.0 26.0 5.0 263.0 527936.0 594.56 -457.425 41.3953 -0.005359 -0.001125 0.268237 547.656 -150.041 58.5772 0.004371 0.016359 -0.039863 511.525 192.644 57.9516 -0.001304 0.007879 -0.149897 0.0 0.0 0.0 0.0 0.0 0.0
